,mp,mp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp.1,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won,target,mp_10,mp.1_10,fg_10,fga_10,fg%_10,3p_10,3pa_10,3p%_10,ft_10,fta_10,ft%_10,orb_10,drb_10,trb_10,ast_10,stl_10,blk_10,tov_10,pf_10,pts_10,ts%_10,efg%_10,3par_10,ftr_10,orb%_10,drb%_10,trb%_10,ast%_10,stl%_10,blk%_10,tov%_10,usg%_10,ortg_10,drtg_10,fg_max_10,fga_max_10,fg%_max_10,3p_max_10,3pa_max_10,3p%_max_10,ft_max_10,fta_max_10,ft%_max_10,orb_max_10,drb_max_10,trb_max_10,ast_max_10,stl_max_10,blk_max_10,tov_max_10,pf_max_10,pts_max_10,ts%_max_10,efg%_max_10,3par_max_10,ftr_max_10,orb%_max_10,drb%_max_10,trb%_max_10,ast%_max_10,stl%_max_10,blk%_max_10,tov%_max_10,usg%_max_10,ortg_max_10,drtg_max_10,total_10,home_10,index_opp_10,mp_opp_10,mp_opp.1_10,fg_opp_10,fga_opp_10,fg%_opp_10,3p_opp_10,3pa_opp_10,3p%_opp_10,ft_opp_10,fta_opp_10,ft%_opp_10,orb_opp_10,drb_opp_10,trb_opp_10,ast_opp_10,stl_opp_10,blk_opp_10,tov_opp_10,pf_opp_10,pts_opp_10,ts%_opp_10,efg%_opp_10,3par_opp_10,ftr_opp_10,orb%_opp_10,drb%_opp_10,trb%_opp_10,ast%_opp_10,stl%_opp_10,blk%_opp_10,tov%_opp_10,usg%_opp_10,ortg_opp_10,drtg_opp_10,fg_max_opp_10,fga_max_opp_10,fg%_max_opp_10,3p_max_opp_10,3pa_max_opp_10,3p%_max_opp_10,ft_max_opp_10,fta_max_opp_10,ft%_max_opp_10,orb_max_opp_10,drb_max_opp_10,trb_max_opp_10,ast_max_opp_10,stl_max_opp_10,blk_max_opp_10,tov_max_opp_10,pf_max_opp_10,pts_max_opp_10,ts%_max_opp_10,efg%_max_opp_10,3par_max_opp_10,ftr_max_opp_10,orb%_max_opp_10,drb%_max_opp_10,trb%_max_opp_10,ast%_max_opp_10,stl%_max_opp_10,blk%_max_opp_10,tov%_max_opp_10,usg%_max_opp_10,ortg_max_opp_10,drtg_max_opp_10,total_opp_10,home_opp_10,won_10,home_next,team_opp_next,date_next
224,0.0,0.0,0.49999999999999994,0.38235294117647056,0.5239234449760765,0.3448275862068966,0.3333333333333333,0.4572446555819477,0.2558139534883721,0.23809523809523808,0.7082847141190198,0.27586206896551724,0.4545454545454546,0.43137254901960786,0.441860465116279,0.4545454545454546,0.35000000000000003,0.3793103448275862,0.2777777777777778,0.375,0.5031315240083506,0.5127701375245579,0.3972179289026276,0.21914357682619645,0.3584229390681004,0.6738351254480287,0.5648648648648648,0.5822603719599428,0.4746543778801844,0.3217821782178218,0.38805970149253727,0.0,0.4511525795828758,0.3600439077936334,0.3809523809523809,0.19047619047619047,0.6923076923076925,0.2857142857142857,0.21739130434782608,1.0,0.24000000000000002,0.19999999999999998,1.0,0.2,0.55,0.46153846153846156,0.34782608695652173,0.30000000000000004,0.2727272727272727,0.1818181818181818,0.5,0.26229508196721313,0.38304093567251457,0.41551246537396125,1.0,0.09086341778511448,0.12,0.3699763593380615,0.20942982456140347,0.4311926605504587,0.045,0.11599999999999999,0.17610062893081757,0.0871794871794872,0.3601895734597157,0.4,ATL,0.375,1.0,0.0,0.0,0.0,0.391304347826087,0.33823529411764697,0.42344497607655496,0.48275862068965514,0.3787878787878788,0.5736342042755344,0.20930232558139533,0.2222222222222222,0.6114352392065344,0.27586206896551724,0.36363636363636365,0.3529411764705882,0.3255813953488372,0.2727272727272727,0.0,0.6206896551724138,0.41666666666666663,0.3035714285714286,0.4551148225469729,0.4793713163064832,0.46986089644513146,0.21284634760705287,0.32616487455197135,0.6415770609318997,0.43513513513513524,0.5092989985693848,0.28571428571428575,0.0,0.6156716417910447,0.0,0.3600439077936334,0.4511525795828758,0.3333333333333333,0.2857142857142857,1.0,0.2857142857142857,0.26086956521739135,0.667,0.12,0.14285714285714285,1.0,0.3333333333333333,0.2,0.2692307692307693,0.34782608695652173,0.2,0.0,0.1818181818181818,0.75,0.26229508196721313,0.41715399610136455,0.538319482917821,0.545,0.4258235842962751,0.156,0.3085106382978724,0.19188596491228066,0.37844036697247696,0.040999999999999995,0.0,0.42557651991614254,0.1371794871794872,0.16113744075829384,0.4352941176470587,NOP,0.3035714285714286,0.0,2016,2015-11-11,1.0,0,0.0,0.0,0.4478260869565217,0.35735294117647054,0.48277511961722464,0.32068965517241377,0.3287878787878788,0.4306413301662707,0.34651162790697676,0.2952380952380952,0.7926487747957993,0.2793103448275862,0.3795454545454545,0.3686274509803921,0.4604651162790698,0.4909090909090909,0.26,0.45517241379310347,0.3277777777777778,0.36071428571428565,0.4872651356993735,0.47151277013752446,0.4004636785162289,0.2827455919395466,0.34336917562724023,0.5345878136200717,0.43297297297297294,0.6619456366237483,0.5138248847926268,0.22252475247524753,0.45746268656716416,0.0,0.43183315038419307,0.38320526893523593,0.2761904761904762,0.1976190476190476,0.6827692307692308,0.22142857142857145,0.1956521739130435,0.9467000000000001,0.20800000000000002,0.17714285714285713,1.0,0.2,0.27999999999999997,0.25384615384615383,0.2217391304347826,0.37,0.23636363636363633,0.2727272727272727,0.5,0.20655737704918034,0.44717348927875233,0.4895660203139428,0.804875,0.07289169597358788,0.23000000000000004,0.17754137115839247,0.14594298245614032,0.31662844036697246,0.0654,0.06939999999999999,0.32714884696016766,0.11499999999999999,0.4061611374407583,0.4258823529411765,0.36071428571428565,0.6,0.4,0.0,0.0,0.4130434782608695,0.3779411764705882,0.42320574162679414,0.32068965517241377,0.3515151515151515,0.40760095011876485,0.3209302325581395,0.27301587301587305,0.7753792298716453,0.4068965517241379,0.3931818181818182,0.45294117647058824,0.38604651162790693,0.38181818181818183,0.27,0.5724137931034483,0.37222222222222223,0.32232142857142854,0.43110647181628386,0.4206286836935167,0.4197836166924267,0.2521410579345088,0.4655913978494624,0.656810035842294,0.5672972972972973,0.5904148783977111,0.39769585253456224,0.22623762376237627,0.5522388059701492,0.0,0.38320526893523593,0.43183315038419307,0.319047619047619,0.25476190476190474,0.8452307692307693,0.22857142857142856,0.2391304347826087,0.7205,0.21200000000000002,0.19142857142857142,1.0,0.29333333333333333,0.28500000000000003,0.3038461538461539,0.2391304347826087,0.27,0.18181818181818182,0.34545454545454546,0.625,0.24918032786885247,0.4627680311890837,0.49963065558633435,0.8550000000000001,0.0950046651833776,0.1674,0.26453900709219863,0.15285087719298243,0.3119266055045871,0.0628,0.0679,0.4135220125786163,0.12525641025641027,0.36161137440758295,0.44941176470588234,0.32232142857142854,0.4,0.8,0.0,BOS,2015-11-13
248,0.0,0.0,0.6304347826086956,0.42647058823529416,0.6459330143540668,0.6206896551724138,0.5151515151515151,0.5629453681710214,0.32558139534883723,0.23809523809523808,0.9276546091015168,0.20689655172413793,0.25,0.21568627450980393,0.627906976744186,0.36363636363636365,0.35000000000000003,0.3448275862068965,0.5277777777777778,0.5803571428571428,0.7160751565762004,0.6954813359528487,0.590417310664606,0.21158690176322414,0.28315412186379935,0.3602150537634409,0.2648648648648647,0.709585121602289,0.37327188940092165,0.22277227722772278,0.34701492537313433,0.0,0.6882546652030735,0.5433589462129528,0.5714285714285714,0.40476190476190477,0.743076923076923,0.5714285714285714,0.5217391304347826,0.667,0.28,0.19999999999999998,1.0,0.13333333333333333,0.25,0.15384615384615385,0.43478260869565216,0.2,0.2727272727272727,0.2727272727272727,0.5,0.5901639344262295,0.45711500974658864,0.4459833795013851,0.6875,0.031077298499964115,0.12,0.18676122931442082,0.09100877192982455,0.5412844036697247,0.027999999999999997,0.08800000000000001,0.21383647798742134,0.34487179487179487,0.42654028436018965,0.5882352941176471,GSW,0.5803571428571428,0.0,1.0,0.0,0.0,0.5217391304347825,0.3970588235294117,0.5382775119617224,0.10344827586206896,0.07575757575757575,0.39548693586698336,0.6046511627906976,0.5555555555555556,0.7082847141190198,0.5172413793103449,0.36363636363636365,0.4901960784313725,0.3255813953488372,0.18181818181818182,0.05,0.41379310344827586,0.33333333333333337,0.4642857142857142,0.49060542797494755,0.4420432220039292,0.08964451313755796,0.5062972292191434,0.6397849462365592,0.7168458781362009,0.7378378378378377,0.39484978540772536,0.1889400921658986,0.04950495049504951,0.38059701492537307,0.0,0.5433589462129528,0.6882546652030735,0.19047619047619047,0.2142857142857143,1.0,0.07142857142857142,0.043478260869565216,1.0,0.24000000000000002,0.19999999999999998,1.0,0.2,0.25,0.2692307692307693,0.17391304347826086,0.1,0.09090909090909091,0.36363636363636365,0.5,0.14754098360655737,0.5126705653021442,0.538319482917821,1.0,0.052608914088853806,0.11900000000000001,0.33451536643026014,0.18859649122807015,0.19036697247706422,0.027000000000000003,0.053,0.9999999999999999,0.16666666666666663,0.37914691943127965,0.6823529411764705,MIN,0.4642857142857142,1.0,2016,2015-11-12,1.0,1,0.0,0.0,0.5065217391304346,0.4147058823529412,0.5066985645933013,0.4206896551724138,0.39242424242424245,0.49334916864608075,0.3953488372093023,0.3571428571428571,0.737806301050175,0.37241379310344824,0.42954545454545456,0.46470588235294114,0.5186046511627908,0.4409090909090909,0.30000000000000004,0.48965517241379314,0.45555555555555555,0.45357142857142857,0.5313152400835072,0.5192534381139489,0.45502318392581154,0.3249370277078085,0.4440860215053764,0.5415770609318997,0.5256756756756756,0.6856938483547926,0.4474654377880184,0.22128712871287132,0.45820895522388055,0.0,0.5097694840834247,0.32272228320526886,0.3904761904761905,0.3,0.8333846153846155,0.4,0.4391304347826087,0.8667999999999999,0.22000000000000003,0.17428571428571427,1.0,0.2,0.21000000000000002,0.18461538461538463,0.25652173913043474,0.32,0.18181818181818182,0.2818181818181818,0.6,0.38524590163934425,0.4965886939571149,0.5120960295475532,0.5506249999999999,0.074757769324625,0.2137,0.23297872340425538,0.17971491228070174,0.45756880733944943,0.08299999999999999,0.09330000000000001,0.37358490566037733,0.22423076923076923,0.49810426540284364,0.36,0.45357142857142857,0.5,0.5,0.0,0.0,0.3782608695652173,0.39705882352941174,0.35574162679425825,0.19310344827586207,0.23333333333333334,0.34513064133016624,0.42558139534883727,0.38571428571428573,0.7077012835472579,0.40344827586206894,0.35454545454545455,0.4176470588235294,0.3186046511627907,0.35909090909090907,0.22000000000000003,0.5344827586206897,0.4333333333333334,0.30089285714285713,0.353027139874739,0.32082514734774065,0.2746522411128285,0.3600755667506297,0.45842293906810044,0.5559139784946237,0.47459459459459463,0.5320457796852647,0.3640552995391705,0.18638613861386139,0.5014925373134328,0.0,0.32272228320526886,0.5097694840834247,0.21904761904761902,0.2523809523809524,0.7607692307692309,0.1357142857142857,0.1956521739130435,0.8167,0.28,0.2457142857142857,1.0,0.26,0.24500000000000002,0.26538461538461544,0.23478260869565215,0.23000000000000004,0.17272727272727273,0.3090909090909091,0.675,0.18032786885245902,0.41793372319688105,0.4480147737765467,0.693,0.08171248115983636,0.20750000000000002,0.24160756501182035,0.16666666666666663,0.41227064220183485,0.0613,0.0772,0.4694968553459119,0.2206410256410256,0.39478672985781993,0.5317647058823529,0.30089285714285713,0.5,1.0,1.0,BRK,2015-11-14
252,0.0,0.0,0.3260869565217391,0.25,0.4138755980861243,0.3103448275862069,0.25757575757575757,0.509501187648456,0.5116279069767441,0.4126984126984127,0.8273045507584598,0.4482758620689655,0.4318181818181819,0.5098039215686274,0.27906976744186046,0.36363636363636365,0.25,0.4827586206896552,0.36111111111111116,0.3214285714285714,0.48851774530271375,0.4204322200392927,0.3523956723338486,0.4269521410579345,0.5681003584229392,0.6021505376344086,0.6567567567567566,0.4964234620886982,0.4101382488479263,0.21039603960396042,0.5,0.0,0.4720087815587265,0.24039517014270018,0.23809523809523808,0.14285714285714285,1.0,0.2857142857142857,0.30434782608695654,1.0,0.28,0.19999999999999998,1.0,0.4,0.25,0.23076923076923078,0.391304347826087,0.4,0.18181818181818182,0.2727272727272727,0.75,0.1639344262295082,0.597465886939571,0.538319482917821,0.53125,0.28227948037034384,0.253,0.3262411347517731,0.17543859649122806,0.49311926605504575,0.062000000000000006,0.059000000000000004,0.4758909853249475,0.1948717948717949,0.3601895734597157,0.2823529411764706,TOR,0.3214285714285714,1.0,0.0,0.0,0.0,0.2391304347826087,0.32352941176470584,0.2320574162679424,0.24137931034482757,0.2878787878787879,0.36104513064133015,0.3023255813953489,0.30158730158730157,0.6499416569428238,0.3448275862068966,0.2727272727272727,0.3137254901960784,0.18604651162790697,0.4545454545454546,0.2,0.44827586206896547,0.4444444444444444,0.1517857142857143,0.24425887265135693,0.24165029469548127,0.36321483771251944,0.29219143576826195,0.39784946236559143,0.43189964157706096,0.3432432432432434,0.4120171673819743,0.511520737327189,0.17574257425742573,0.46268656716417905,0.0,0.24039517014270018,0.4720087815587265,0.3809523809523809,0.33333333333333326,0.33999999999999997,0.2857142857142857,0.4347826086956522,0.5,0.12,0.11428571428571428,1.0,0.13333333333333333,0.2,0.1923076923076923,0.08695652173913043,0.30000000000000004,0.18181818181818182,0.1818181818181818,0.75,0.3278688524590164,0.15984405458089673,0.20867959372114508,0.58375,0.10284935046292974,0.092,0.22576832151300238,0.13596491228070173,0.5103211009174311,0.10300000000000001,0.07400000000000001,0.3574423480083857,0.1858974358974359,0.22274881516587675,0.5411764705882353,NOP,0.1517857142857143,0.0,2016,2015-11-13,1.0,0,0.0,0.0,0.35869565217391297,0.3235294117647059,0.3904306220095693,0.22413793103448273,0.2393939393939394,0.3824228028503563,0.5488372093023256,0.4714285714285714,0.7651108518086348,0.4275862068965518,0.43636363636363634,0.5019607843137255,0.2790697674418604,0.4,0.225,0.45862068965517244,0.41944444444444445,0.34017857142857144,0.42713987473903964,0.36463654223968567,0.30386398763523964,0.45818639798488664,0.5172043010752689,0.6050179211469534,0.6113513513513513,0.4608011444921316,0.42857142857142855,0.18638613861386139,0.4477611940298507,0.0,0.4373216245883643,0.3689352360043907,0.2523809523809524,0.1976190476190476,0.6843076923076923,0.21428571428571427,0.24782608695652178,0.76,0.312,0.27428571428571424,1.0,0.26,0.27,0.2692307692307693,0.2391304347826087,0.29000000000000004,0.18181818181818182,0.2727272727272727,0.65,0.219672131147541,0.3756335282651072,0.3663896583564174,0.80275,0.10960310055264481,0.246,0.3553191489361703,0.2535087719298245,0.3309633027522935,0.0876,0.126,0.48050314465408805,0.13089743589743588,0.38483412322274885,0.4011764705882353,0.34017857142857144,0.4,0.6,0.0,0.0,0.33695652173913043,0.34117647058823525,0.3485645933014353,0.2862068965517241,0.29393939393939394,0.41935866983372916,0.41395348837209306,0.36031746031746026,0.7578763127187864,0.3448275862068965,0.325,0.35882352941176465,0.3441860465116279,0.35909090909090907,0.28500000000000003,0.4413793103448276,0.5305555555555556,0.28660714285714284,0.38643006263048013,0.35009823182711197,0.36568778979907274,0.3459697732997481,0.39498207885304665,0.4827956989247312,0.3886486486486486,0.6037195994277541,0.3783410138248848,0.22673267326732677,0.44365671641791044,0.0,0.3689352360043907,0.4373216245883643,0.2714285714285714,0.23095238095238094,0.5827692307692308,0.24285714285714283,0.26956521739130435,0.8797,0.16799999999999998,0.14857142857142855,1.0,0.24,0.215,0.20384615384615384,0.24782608695652172,0.24000000000000005,0.2909090909090909,0.2636363636363636,0.825,0.2180327868852459,0.3810916179337232,0.42105263157894746,0.6825,0.07036531974449149,0.1759,0.2643026004728133,0.13267543859649117,0.4582568807339449,0.0699,0.1072,0.38029350104821796,0.2743589743589744,0.2706161137440758,0.4788235294117647,0.28660714285714284,0.6,0.7,0.0,SAC,2015-11-15
256,0.0,0.0,0.2173913043478261,0.27941176470588247,0.23444976076555013,0.3103448275862069,0.3484848484848485,0.39548693586698336,0.37209302325581395,0.31746031746031744,0.7782963827304551,0.3448275862068966,0.4545454545454546,0.47058823529411764,0.20930232558139533,0.3181818181818182,0.2,0.44827586206896547,0.5555555555555556,0.1785714285714286,0.3068893528183715,0.27111984282907664,0.4590417310664607,0.3198992443324937,0.38172043010752693,0.5519713261648745,0.45675675675675664,0.486409155937053,0.35944700460829493,0.19801980198019803,0.47388059701492535,0.0,0.2733260153677276,0.3468715697036223,0.2857142857142857,0.2857142857142857,0.6923076923076925,0.2857142857142857,0.30434782608695654,1.0,0.19999999999999998,0.14285714285714285,1.0,0.2,0.15000000000000002,0.11538461538461542,0.08695652173913043,0.30000000000000004,0.18181818181818182,0.2727272727272727,0.75,0.26229508196721313,0.5126705653021442,0.538319482917821,0.30500000000000005,0.13873537644441256,0.109,0.25177304964539016,0.1414473684210526,0.23509174311926598,0.07200000000000001,0.09699999999999999,0.4758909853249475,0.09999999999999998,0.16113744075829384,0.3294117647058824,NYK,0.1785714285714286,1.0,0.0,0.0,0.0,0.3043478260869565,0.2647058823529411,0.36842105263157887,0.20689655172413793,0.36363636363636365,0.25415676959619954,0.3953488372093023,0.47619047619047616,0.5110851808634772,0.41379310344827586,0.4772727272727273,0.5294117647058824,0.11627906976744184,0.2727272727272727,0.05,0.3793103448275862,0.36111111111111116,0.2321428571428571,0.33820459290187876,0.34577603143418467,0.48531684698608973,0.48488664987405544,0.4480286738351255,0.6182795698924731,0.5432432432432434,0.21745350500715305,0.3087557603686636,0.04702970297029703,0.39552238805970147,0.0,0.3468715697036223,0.2733260153677276,0.42857142857142855,0.30952380952380953,0.6923076923076925,0.14285714285714285,0.26086956521739135,0.333,0.24000000000000002,0.2571428571428571,1.0,0.4,0.25,0.2692307692307693,0.17391304347826086,0.2,0.09090909090909091,0.1818181818181818,0.5,0.3442622950819672,0.2826510721247563,0.3536472760849493,1.0,0.10284935046292974,0.588,0.2884160756501182,0.39254385964912275,0.30963302752293576,0.027999999999999997,0.023,0.16457023060796644,0.24230769230769222,0.22274881516587675,0.2705882352941177,CLE,0.2321428571428571,0.0,2016,2015-11-13,0.0,1,0.0,0.0,0.3804347826086956,0.3970588235294118,0.3583732057416267,0.2517241379310345,0.2878787878787879,0.3817102137767221,0.40930232558139534,0.34444444444444444,0.7824970828471411,0.4413793103448276,0.39772727272727276,0.4764705882352941,0.3,0.32272727272727275,0.26,0.4310344827586207,0.4916666666666667,0.31160714285714286,0.3751565762004174,0.3430255402750491,0.341112828438949,0.31435768261964736,0.5005376344086022,0.5555555555555556,0.5356756756756758,0.4802575107296138,0.343778801843318,0.20569306930693068,0.41604477611940294,0.0,0.3948408342480789,0.4060373216245883,0.26190476190476186,0.28809523809523807,0.6333846153846154,0.21428571428571427,0.20869565217391303,0.8117000000000001,0.22400000000000003,0.1857142857142857,1.0,0.33999999999999997,0.21500000000000002,0.2730769230769231,0.1391304347826087,0.26,0.2,0.2,0.675,0.23442622950819675,0.3564327485380117,0.36380424746075724,0.663875,0.07503768032728056,0.2414,0.2794326241134752,0.17105263157894732,0.28738532110091736,0.08320000000000001,0.0912,0.32903563941299785,0.1491025641025641,0.33649289099526064,0.4223529411764705,0.31160714285714286,0.5,0.5,0.0,0.0,0.3652173913043478,0.3558823529411764,0.37655502392344486,0.22758620689655173,0.2621212121212121,0.3682897862232779,0.4767441860465116,0.4428571428571429,0.6915985997666277,0.38275862068965516,0.3840909090909091,0.4313725490196078,0.3023255813953488,0.34090909090909094,0.2,0.3896551724137931,0.3611111111111111,0.31875,0.3883089770354905,0.3524557956777996,0.3210200927357033,0.4178841309823677,0.4444444444444445,0.49964157706093193,0.46432432432432424,0.4942775393419171,0.3631336405529954,0.15099009900990099,0.3802238805970149,0.0,0.4060373216245883,0.3948408342480789,0.28095238095238095,0.2642857142857143,0.6466153846153847,0.15,0.2217391304347826,0.65,0.23200000000000004,0.24285714285714283,0.9666666666666666,0.2733333333333333,0.23000000000000004,0.2576923076923078,0.17391304347826086,0.28,0.21818181818181817,0.20909090909090908,0.525,0.22459016393442624,0.3697855750487329,0.386426592797784,0.768875,0.09275819995693678,0.3511,0.16962174940898347,0.1952850877192982,0.3142201834862385,0.062,0.0626,0.3734800838574423,0.1424358974358974,0.3203791469194313,0.4294117647058823,0.31875,0.5,0.4,1.0,NOP,2015-11-15
259,0.0,0.0,0.36956521739130427,0.38235294117647056,0.3588516746411482,0.20689655172413793,0.18181818181818182,0.44536817102137766,0.5116279069767441,0.4126984126984127,0.8273045507584598,0.48275862068965514,0.11363636363636365,0.2549019607843137,0.3488372093023256,0.4545454545454546,0.0,0.24137931034482757,0.41666666666666663,0.3303571428571428,0.3903966597077243,0.3280943025540275,0.21792890262751163,0.380352644836272,0.5340501792114696,0.42114695340501795,0.3621621621621621,0.5708154506437768,0.5161290322580645,0.0,0.2462686567164179,0.0,0.48957189901207443,0.4774972557628979,0.3809523809523809,0.23809523809523808,1.0,0.14285714285714285,0.21739130434782608,1.0,0.28,0.19999999999999998,1.0,0.26666666666666666,0.04999999999999999,0.15384615384615385,0.3043478260869565,0.4,0.0,0.1818181818181818,0.5,0.3442622950819672,0.9999999999999998,1.0,1.0,0.038254503696260676,0.14300000000000002,0.11820330969267143,0.0921052631578947,0.345183486238532,0.109,0.0,0.18448637316561844,0.14102564102564102,1.0,0.5176470588235295,MEM,0.3303571428571428,1.0,0.0,0.0,0.0,0.3043478260869565,0.13235294117647056,0.4999999999999999,0.27586206896551724,0.27272727272727276,0.4323040380047506,0.5813953488372092,0.4444444444444444,0.8798133022170362,0.3448275862068966,0.38636363636363635,0.4117647058823529,0.2325581395348837,0.2272727272727273,0.5,0.7241379310344828,0.4444444444444444,0.3214285714285714,0.590814196242171,0.4911591355599214,0.42349304482225664,0.5138539042821157,0.5788530465949822,0.46594982078853053,0.6378378378378379,0.43347639484978545,0.25806451612903225,0.353960396039604,0.753731343283582,0.0,0.4774972557628979,0.48957189901207443,0.19047619047619047,0.16666666666666663,1.0,0.14285714285714285,0.21739130434782608,1.0,0.36000000000000004,0.2571428571428571,1.0,0.3333333333333333,0.2,0.15384615384615385,0.2173913043478261,0.2,0.2727272727272727,0.6363636363636364,0.75,0.26229508196721313,0.7076023391812865,0.7229916897506926,0.43125,0.09086341778511448,0.419,0.06737588652482274,0.19627192982456138,0.23165137614678896,0.036000000000000004,0.111,0.30083857442348,0.15128205128205124,0.4312796208530806,0.5411764705882353,POR,0.3214285714285714,0.0,2016,2015-11-13,1.0,1,0.0,0.0,0.308695652173913,0.3338235294117647,0.3236842105263157,0.16551724137931034,0.21060606060606063,0.31555819477434677,0.4441860465116279,0.3825396825396825,0.7641773628938157,0.38275862068965516,0.325,0.3803921568627451,0.313953488372093,0.39090909090909093,0.19,0.41724137931034483,0.4638888888888889,0.24375,0.33486430062630473,0.28919449901768174,0.2652241112828439,0.3751889168765743,0.43620071684587824,0.5655913978494624,0.45270270270270263,0.5849785407725323,0.4230414746543779,0.17623762376237626,0.4186567164179104,0.0,0.3287596048298572,0.43369923161361135,0.2333333333333333,0.1738095238095238,0.5767692307692308,0.14285714285714285,0.21304347826086958,0.7666000000000001,0.24,0.21142857142857138,0.9583333333333334,0.22000000000000003,0.195,0.21538461538461537,0.21739130434782608,0.24000000000000005,0.16363636363636364,0.2545454545454545,0.6,0.17704918032786884,0.37729044834307984,0.3691597414589105,0.6873750000000001,0.08731787841814398,0.1984,0.20437352245862886,0.14725877192982453,0.43818807339449534,0.0705,0.0709,0.29098532494758905,0.14128205128205126,0.37962085308056875,0.4541176470588235,0.24375,0.4,0.6,0.0,0.0,0.3695652173913043,0.2529411764705882,0.4669856459330142,0.33448275862068966,0.30606060606060603,0.4568883610451306,0.4162790697674419,0.3904761904761905,0.6868144690781797,0.3310344827586207,0.4409090909090909,0.45098039215686275,0.3534883720930232,0.29545454545454547,0.31,0.5517241379310345,0.4333333333333333,0.3267857142857143,0.49937369519832975,0.47190569744597244,0.4143740340030913,0.41057934508816113,0.43440860215053767,0.563799283154122,0.5472972972972973,0.5662374821173105,0.3165898617511521,0.23118811881188123,0.5630597014925373,0.0,0.43369923161361135,0.3287596048298572,0.23809523809523808,0.2095238095238095,0.8487692307692308,0.2642857142857143,0.2782608695652174,0.8167,0.196,0.17428571428571427,1.0,0.23333333333333334,0.27999999999999997,0.2538461538461539,0.16521739130434782,0.25,0.2,0.24545454545454543,0.675,0.219672131147541,0.5455165692007796,0.5729455216989844,0.8015000000000001,0.08849494007033662,0.2121,0.2625295508274232,0.1883771929824561,0.24575688073394492,0.0625,0.1145,0.4378406708595387,0.1392307692307692,0.5071090047393365,0.36,0.3267857142857143,0.6,0.4,0.0,MIN,2015-11-15
